Bahia Falsa,,,,Carpinteria Salt March,,,,Estero de Punta Banda,,,,Flensburg Fjord,,,,Otago Harbor,,,,Sylt Tidal Basin,,,,Ythan Estuary,,,,
ID,Type,Name,,ID,Type,Name,,ID,Type,Name,,ID,Type,Name,,ID,Type,Name,,ID,Type,Name,,ID,Type,Name,,
37,1,ophiuroid,,37,1,Western Encephalitis Mosquito,,37,1,white nemertean,,37,1,Harpacticoida,,37,1,Paracalliope sp.,,37,1,Polydora cilitata,,37,2,Cucullanus minutus,,
38,1,Blue Mussel,,38,1,cyclopoid copepod,,38,1,Chione californiensis,,38,1,Ostracoda,,38,1,Cymodopsis montis,,38,1,Polydora cornuta,,38,2,Pomphorynchus sp.,,
39,1,Acteocina inculta,,39,1,dipteran b,,39,1,Chione fluctifraga,,39,1,Crangon crangon,,39,1,Callianassa filholi,,39,1,Spio martinensis,,39,2,Corynosoma strumosum,,
40,1,California Assiminea,,40,1,Ephydra,,40,1,California Softshell Clam,,40,1,Palaemon squilla,,40,1,Heterosquilla tricarinata,,40,1,Pygospio elegans,,40,2,Echinorynchus sp.,,
41,1,Four-Threaded Bittium,,41,1,green gammaridean,,41,1,Ribbed Mussel,,41,1,Carcinus maenas,,41,1,Macrophthalmus hirtipes,,41,1,Scolelepis squamata,,41,2,Hymenolepis sp.,,
42,1,California Horn Snail,,42,1,harpacticoid,,42,1,Pacific Eggcockle,,42,1,Gammarus oceanicus,,42,1,Hemigrapsus crenulatus,,42,1,Scololepis foliosa,,42,2,Spelotrema clariforma,,
43,1,Salt Marsh Snail,,43,1,oniscidean,,43,1,Bent-nosed Clam,,43,1,G. salinus ,,43,1,Hemigrapsus edwardsii,,43,1,Scoloplos armiger,,43,1,Lutra lutra,,
44,1,Black Salt Marsh Mosquito,,44,1,ostracod-planktonic,,44,1,Pacific Littleneck Clam,,44,1,G. zaddachi,,44,1,Notoacmea helmsi,,44,1,Tharyx killariensis,,44,1,Phalacrocorax carbo,,
45,1,Coleopteran,,45,1,Pardosa sp.,,45,1,Protothaca?,,45,1,G. locusta,,45,1,Diloma subrostrata,,45,1,Lepidochitona cinereus,,45,1,Ardea cinera,,
46,1,corophiid?,,46,1,Salt Marsh Hopper,,46,1,Fat Jackknife Clam,,46,1,Aoridae,,46,1,Zeacumantus subcarinatus,,46,1,Aeolidia papillosa,,46,1,Cygnus olor,,
47,1,Western Encephalitis Mosquito,,47,1,Salt Marsh Water Boatman,,47,1,Lesser Tagelus,,47,1,Isaeidae,,47,1,Pyramidellidae,,47,1,Crepidula fornicata,,47,1,Tadorna tadorna,,
48,1,cumacean,,48,1,Calfornia Ghost Shrimp,,48,1,unk bivalve,,48,1,C. insidiosum,,48,1,Cominella glandiformis,,48,1,Hydrobia ulvae,,48,1,Anas penelope,,
49,1,cyclopoid copepod,,49,1,Southern Mud Shrimp,,49,1,Acteocina inculta,,49,1,C. volutator,,49,1,Nucula dunedinensis,,49,1,Littorina littorea,,49,1,Somateria mollissima,,
50,1,Ephydra,,50,1,Green Shore Crab,,50,1,California Assiminea,,50,1,Idothea balthica,,50,1,Perrierina turneri,,50,1,Cerastoderma edule,,50,1,Somateria mollissima,,
51,1,gammaridean (red eye),,51,1,Striped Shore Crab,,51,1,Cloudy Bubble Snail,,51,1,I. chelipes,,51,1,Macomona liliana,,51,1,Crassostrea gigas,,51,1,Haematopus ostralegus,,
52,1,gammaridean (red striped antennae),,52,1,Fiddler Crab,,52,1,California Horn Snail,,52,1,Jaera albifrons,,52,1,Austrovenus stutchburyi,,52,1,Ensis americanus,,52,1,Charadris hiaticula,,
53,1,gammaridean A (BSQc3),,53,1,Yellow-fin Goby,,53,1,Paper Bubble Snail,,53,1,Praunus inermis,,53,1,Pelecypod 1,,53,1,Macoma balthica,,53,1,Pluvialis apricaria,,
54,1,harpacticoid,,54,1,Topsmelt,,54,1,Littorina?,,54,1,Neomysis integer,,54,1,Paphies sp.,,54,1,Mya arenaria,,54,1,Pluvialis squtarola,,
55,1,Nebalia sp.,,55,1,Arrow Goby,,55,1,Salt Marsh Snail,,55,1,Halacaridae,,55,1,Phoronida,,55,1,Mytilus edulis,,55,1,Vanellus vanellus,,
56,1,ostracod,,56,1,Shiner Surfperch,,56,1,Nassarius tegula,,56,1,Chironomidae-larvae/puppae,,56,1,Edwardsia leucomelos,,56,1,Balanus crenatus,,56,1,Calidris  alpinea,,
57,1,ostracod-planktonic,,57,1,California Killifish,,57,1,opisthobranch,,57,1,Asterias rubens,,57,1,Nemertinea 1,,57,1,Semibalanus balanoides,,57,1,Limosa lapponica,,
58,1,Paracerceis sp.,,58,1,Long-jawed Mudsucker,,58,1,pyramidellid,,58,1,Pomatoschistus minutus,,58,1,Nemertinea 2,,58,1,Carcinus maenas,,58,1,Numenius arquatus,,
59,1,staphylinid,,59,1,Diamond Turbot,,59,1,Black Salt Marsh Mosquito,,59,1,P. microps,,59,1,Nemertinea 3,,59,1,Chaetogammarus marinus,,59,1,Tringa totanus,,
60,1,tanaidacean,,60,1,Staghorn Sculpin,,60,1,Argulus,,60,1,P. pictus,,60,1,Enopla 3,,60,1,Crangon crangon,,60,1,Arenaria interpres,,
61,1,Salt Marsh Hopper,,61,1,California Halibut,,61,1,Western Encephalitis Mosquito,,61,1,Gobiusculus flavescens,,61,1,Capittelidae 3,,61,1,Elminius modestus,,61,1,Larus canus,,
62,1,Salt Marsh Water Boatman,,62,1,Leopard Shark,,62,1,cyclopoid copepod,,62,1,Pholis gunellus,,62,1,Travisia sp.,,62,1,Cumopsis goodsiri,,62,1,Larus ridibundis,,
63,1,Calfornia Ghost Shrimp,,63,1,Haller's Round Ray,,63,1,Ephydra,,63,1,Gobius niger,,63,1,Armandia sp.,,63,1,Bathyporeia pilosa,,63,1,Larus argentatus,,
64,1,Striped Shore Crab,,64,1,American Avocet,,64,1,gammaridean,,64,1,Pleuronectes flesus,,64,1,Naineris sp.,,64,1,Bathyporeia sarsi,,64,1,Larus marinus,,
65,1,Topsmelt,,65,1,American Coot,,65,1,harpacticoid,,65,1,Solea solea,,65,1,Scoloplos cylindrifer,,65,1,Pagurus bernhardus,,65,1,Sterna sandvicensis,,
66,1,Arrow Goby,,66,1,American Crow,,66,1,ostracod-planktonic,,66,1,Syngnathus typhle,,66,1,Leitoscoloplos sp.,,66,1,Gammarus locusta,,66,1,Sterna hirundo,,
67,1,California Killifish,,67,1,American Wigeon,,67,1,Salt Marsh Hopper,,67,1,Gasterosteus aculeatus,,67,1,Glycera sp.,,67,1,Jaera albifrons,,67,1,Sterna paradisaea,,
68,1,Long-jawed Mudsucker,,68,1,Black-bellied Plover,,68,1,Salt Marsh Water Boatman,,68,1,Spinachia spinachia,,68,1,Macrolymenella sp.,,68,1,Semibalanus balanoides,,68,1,Corvus frugilegus,,
69,1,Diamond Turbot,,69,1,Black-crowned Night Heron,,69,1,Calfornia Ghost Shrimp,,69,1,Pungitius pungitius,,69,1,Dorvillea incerta,,69,1,Urothoe poseidonis,,69,1,Corvus corone,,
70,1,Mullet,,70,1,Belted Kingfisher,,70,1,Southern Mud Shrimp,,70,1,Podicepidae/Gaviidae,,70,1,Goniadidae 1,,70,1,Corophium arenarium,,70,1,Sprattus sprattus,,
71,1,Sicklefin Smoothhound,,71,1,Bonaparte's Gull,,71,1,Green Shore Crab,,71,1,Phalacrocoracidae,,71,1,Hesionidae 2,,71,1,Corophium volutator,,71,1,Clupea harengus,,
72,1,California Bat Ray,,72,1,Bufflehead,,72,1,Striped Shore Crab,,72,1,"Anatidae (Tadorninae, Anatinae)",,72,1,Geminosyllis sp.,,72,1,Praunus flexuosus,,72,1,Anguilla anguilla,,
73,1,Thornback Ray,,73,1,Blue-winged Teal,,73,1,Fiddler Crab,,73,1,"Anatidae (Somateriinae, Athyinae)",,73,1,Exogone sp. 3,,73,1,Asterias rubens,,73,1,Syngnathus rostellatus,,
74,1,Shadow Goby,,74,1,California Gull,,74,1,Californian Anchovy,,74,1,Charadriidae,,74,1,Aglaophamus sp. 1,,74,1,Styela clava,,74,1,Pollachius virens,,
75,1,Shovelnose Guitarfish,,75,1,Caspian Tern,,75,1,Topsmelt,,75,1,Laridae ,,75,1,Perinereis sp. 2,,75,1,Molgula manhattensis,,75,1,Ciliata mustela,,
76,1,Pipefish,,76,1,Cinnamon Teal,,76,1,Arrow Goby,,76,1,Sternidae,,76,1,Tharyx sp.,,76,1,Ammodytes lancea/tobianus,,76,1,Ammodytes tobianus,,
77,1,Haller's Round Ray,,77,1,Cooper's Hawk,,77,1,California Killifish,,77,1,Rallidae,,77,1,Prinospio sp. 2,,77,1,Anguilla anguilla,,77,1,Pholis gunnellus,,
78,1,American Wigeon,,78,1,Double-crested Cormorant,,78,1,Long-jawed Mudsucker,,78,2,Trichodina domergui,,78,1,Aonides sp. 1,,78,1,Atherina presbyter,,78,1,Zoarces viviparus,,
79,1,Black-bellied Plover,,79,1,Dunlin,,79,1,Opaleye,,79,2,Glossatella sp.,,79,1,Terebellidae 1,,79,1,Belone belone,,79,1,Pomatoschistus minutus,,
80,1,Black-crowned Night Heron,,80,1,Great Blue Heron,,80,1,Bay Blenny,,80,2,Glugea anomala,,80,1,Terebellidae 2,,80,1,Clupea harengus,,80,1,Pomatoschistus microps,,
81,1,Belted Kingfisher,,81,1,Great Egret,,81,1,Diamond Turbot,,81,2,Dactylogyrus sp.,,81,1,Pectinaria sp.,,81,1,Engraulis encrasicolus,,81,1,Myxocephalus scorpius,,
82,1,Brant,,82,1,Green Heron,,82,1,Cheekspot Goby,,82,2,Gyrodactylus spp.,,82,1,Diastillidae 3,,82,1,Gadus morhua,,82,1,Agonus cataphractus,,
83,1,Brown Pelican,,83,1,Greater Yellowlegs,,83,1,Grey Smoothhound,,83,2,Himasthla continua,,83,1,Neballidae 1,,83,1,Merlangius merlangus,,83,1,Gasterosteus aculeatus,,
84,1,Cattle Egret,,84,1,Green-winged Teal,,84,1,Sicklefin Smoothhound,,84,2,H. interrupta,,84,1,Lysianassidae 1,,84,1,Mugil chelo/Chelon labrosus,,84,1,Pleuronectes platessa,,
85,1,California Gull,,85,1,Killdeer,,85,1,California Bat Ray,,85,2,H. militaris,,85,1,Lysianassidae 2,,85,1,Myxocephalus scorpius,,85,1,Platichthys flesus,,
86,1,Caspian Tern,,86,1,Long-billed Curlew,,86,1,California Halibut,,86,2,Cryptocotyle concavum,,86,1,Paracorophium lucasi,,86,1,Platichthys flesus,,86,1,Platichthys flesus,,
87,1,Clapper Rail,,87,1,Long-billed Dowitcher,,87,1,Spotted Sandbass,,87,2,C. lingua,,87,1,Aora sp.,,87,1,Pleuronectes platessa/Platessa platessa,,87,1,Salmo trutta,,
88,1,Common Loon,,88,1,Little Blue Heron,,88,1,Thornback Ray,,88,2,Cerc. microphall. No. 4,,88,1,Oedicerotidae,,88,1,Pomatoschistus microps,,88,1,Crangon crangon,,
89,1,Double-crested Cormorant,,89,1,Least Sandpiper,,89,1,Specklefin Midshipman,,89,2,Maritrema subdolum,,89,1,Exosphaeroma planulum,,89,1,Pomatoschistus minutus,,89,1,Crangon crangon,,
90,1,Dunlin,,90,1,Marbled Godwit,,90,1,Shadow Goby,,90,2,Microphallus claviformis,,90,1,Pseudophaeroma campbellensis,,90,1,Zoarces viviparus,,90,1,Nereis diversicolor,,
91,1,Eared Grebe,,91,1,Mallard,,91,1,Shovelnose Guitarfish,,91,2,M. papillorobustum,,91,1,Halicarcinus whitei,,91,1,Ciliata mustela,,91,1,Nereis virens,,
92,1,Elegant Tern,,92,1,Mew Gull,,92,1,Haller's Round Ray,,92,2,M. pygmaeus,,92,1,Glaucusa sp.,,92,1,Pholis gunellus,,92,1,Phyllodoce mucosa,,
93,1,Forster's Tern,,93,1,Pied-billed Grebe,,93,1,American Avocet,,93,2,Levinseniella sp.,,93,1,Littorina antipodum,,93,1,Cyclopterus lumpus,,93,1,Eteone longa,,
94,1,Great Blue Heron,,94,1,Ring-billed Gull,,94,1,American Bittern,,94,2,Podocotyle atomon,,94,1,Neoguraleus ap. 1,,94,1,Gasterosteus aculeatus,,94,1,Ostracods  ,,
95,1,Great Egret,,95,1,Red-breasted Merganser,,95,1,American Wigeon,,95,2,Psilochasmus oxyurus,,95,1,Cominella sp. 1,,95,1,Syngnathus rostellatus,,95,1,Celanoid copepods ,,
96,1,Greater Scaup,,96,1,Ruddy Duck,,96,1,Black-bellied Plover,,96,2,Acanthostomum balthicum,,96,1,Buccinulum pertinax,,96,1,Sprattus sprattus,,96,1,Harpacticoid copepods ,,
97,1,Greater Yellowlegs,,97,1,Semipalmated Plover,,97,1,Black-crowned Night Heron,,97,2,Asymphylodora demeli,,97,1,Holothuroidea 1,,97,1,Haematopus ostralegus,,97,1,Semibalanus balanoides,,
98,1,Long-billed Curlew,,98,1,Snowy Egret,,98,1,Black Skimmer,,98,2,Aphalloides timmi,,98,1,Perna canaliculus,,98,1,Recurvirostra avosetta,,98,1,Neomysis integer,,
99,1,Long-billed Dowitcher,,99,1,Spotted Sandpiper,,99,1,Black Turnstone,,99,2,Bunocotyle cingulata,,99,1,Amphibola crenata,,99,1,Tringa nebularia,,99,1,Hyale nilssoni,,
100,1,Least Sandpiper,,100,1,Surf Scoter,,100,1,Brant,,100,2,Brachyphallus crenatus,,100,1,Flatfish sp.,,100,1,Tringa totanus,,101,1,Corophium volutator,,
101,1,Lesser Scaup,,101,1,Turkey Vulture,,101,1,Brown Pelican,,101,2,Hemiurus communis,,101,1,Mullet,,101,1,Tringa erythropus,,102,1,Bathyporeia pilosa,,
102,1,Marbled Godwit,,102,1,Western Grebe,,102,1,Bufflehead,,102,2,H. luehei,,102,1,Spotty,,102,1,Limosa lapponica,,103,1,Gammarus sp.,,
103,1,Northern Pintail,,103,1,Western Sandpiper,,103,1,California Gull,,103,2,Lecithaster confusus,,103,1,Garfish,,103,1,Numenius phaeopus,,104,1,Idotea emarginata,,
104,1,Osprey,,104,1,Whimbrel,,104,1,Caspian Tern,,104,2,Magnibursatus caudofilamentosa,,104,1,Barracuda,,104,1,Numenius arquata,,105,1,Jaera albifrons,,
105,1,Pied-billed Grebe,,105,1,Willet,,105,1,Cinnamon Teal,,105,2,Fellodistomidae sp.,,105,1,Stignray sp.,,105,1,Pluvialis apricaria,,106,1,Eurydice pulchra,,
106,1,Pectoral Sandpiper,,106,1,Raccoon,,106,1,Clapper Rail,,106,2,Strigeidae sp.,,106,1,Dogfish sp.,,106,1,Pluvialis squatarola,,107,1,Nototropis spp.,,
107,1,Ring-billed Gull,,107,1,copepod-thalassinidean,,107,1,Dunlin,,107,2,Tylodelphis clavata,,107,1,Oystercatcher 1,,107,1,Charadrius hiaticula,,108,1,Pygospio elegans,,
108,1,Red-breasted Merganser,,108,2,Salt Marsh Bird's Beak,,108,1,Eared Grebe,,108,2,Bothriocephalus scorpii /sp.,,108,1,Oystercatcher 2,,108,1,Calidris alpina,,109,1,Parathemisto sp.,,
109,1,Reddish Egret,,109,2,Dodder,,109,1,Forster's Tern,,109,2,Caryophyllidea sp.,,109,1,Vanellus,,109,1,Calidris canutus,,110,1,Capitella capitata,,
110,1,Red Knot,,110,2,Picornavirus,,110,1,Great Blue Heron,,110,2,Proteocephalus gobiorum /sp.,,110,1,Bb Gull,,110,1,Larus ridibundus,,111,1,Manayunkia aestuarina,,
111,1,Royal Tern,,111,2,apicomplexan-spionid,,111,1,Great Egret,,111,2,Nematoda sp.?,,111,1,Rb Gull,,111,1,Larus argentatus,,112,1,Aricia sp.,,
112,1,Short-billed Dowitcher,,112,2,ciliates.Assiminea,,112,1,Greater Yellowlegs,,112,2,Anisakis simplex / sp.,,112,1,Wf Heron,,112,1,Larus canus,,113,1,Arenicola  marina,,
113,1,Snowy Egret,,113,2,ciliates.Polydora,,113,1,Green-winged Teal,,113,2,Ascarophis arctica,,113,1,Wf Tern,,113,1,Sterna sandvicensis,,114,1,Tubificoides  benedini,,
114,1,Tricolored Heron,,114,2,gregarine-Ccap,,114,1,Killdeer,,114,2,Contracaecum sp. / osculatum,,114,1,Mallard,,114,1,Sterna paradisea,,115,1,Tubifex costatus,,
115,1,Western Gull,,115,2,gregarine-Pachy,,115,1,Long-billed Curlew,,115,2,Hysterothylacium sp. / aduncum,,115,1,Caspian Tern,,115,1,Sterna hirundo,,116,1,Hydrobia  ulvae,,
116,1,Western Sandpiper,,116,2,Plasmodium sp.,,116,1,Least Sandpiper,,116,2,Capillaria sp.,,116,1,Stilt,,116,1,Branta bernicla bernicla,,117,1,Littorina littorea,,
117,1,Whimbrel,,117,2,Trichodina sp.,,117,1,Lesser Scaup,,117,2,Cucullanus cirratus,,117,1,Shelduck,,117,1,Tadorna tadorna,,118,1,Littorina saxatilis,,
118,1,Willet,,118,2,Henneguya,,118,1,Least Tern,,118,2,Cucullanellus minutus,,118,1,Grey Duck,,118,1,Anas penelope,,119,1,Alderia modestus,,
119,1,copepod-thalassinidean,,119,2,Gyrodactylus sp.,,119,1,Marbled Godwit,,119,2,Cosmocephalus obvelatus,,119,1,Spoonbill,,119,1,Anas acuta,,120,1,Retusa obtusa,,
120,2,apicomplexan-spionid,,120,2,Acanthoparyphium spinulosum,,120,1,Mallard,,120,2,Rhabdochona sp.,,120,1,Black Swan,,120,1,Anas crecca,,121,1,Mya arenaria,,
121,2,gregarine-Pachy,,121,2,microphallid-assiminea,,121,1,Northern Harrier,,121,2,Acanthella-larva,,121,1,Godwit,,121,1,Anas platyrhynchos,,122,1,Macoma balthica,,
122,2,microsporidean pachy Prob[1],,122,2,Austrobilharzia sp.,,122,1,Osprey,,122,2,Echinorhynchus sp.,,122,1,Pied Cormorant,,122,1,Somateria mollissima,,123,1,Mytilus edulis,,
123,2,Plasmodium sp.,,123,2,Catatropis johnstoni,,123,1,Ring-billed Gull,,123,2,Thersitina gasterostei,,123,1,Little Shag,,123,1,Phalacrocorax carbo,,124,1,Cerastoderma edule,,
124,2,Trichodina sp.,,124,2,Cloacitrema michiganiensis,,124,1,Red-breasted Merganser,,,,,,124,2,Maritrema Novae,,124,1,Falco peregrinus,,125,1,nematodes  ,,
125,2,Gyrodactylus sp.,,125,2,Euhaplorchis californiensis,,125,1,Reddish Egret,,,,,,125,2,Levinseniella,,125,1,Corvus corone,,126,1,Foraminifera ,,
126,2,Acanthoparyphium spinulosum,,126,2,fat cyathocotylid,,126,1,Ruddy Turnstone,,,,,,126,2,Microphallus,,126,1,Phoca vitulina,,127,1,Chironomidae ,,
127,2,microphallid-assiminea,,127,2,hemiurid,,127,1,Short-billed Dowitcher,,,,,,127,2,Galactosomum,,127,2,Microphallus claviformis,,128,1,Dipteran larvae  ,,
128,2,Austrobilharzia sp.,,128,2,Himasthla rhigedana,,128,1,Semipalmated Plover,,,,,,128,2,Renicola,,128,2,Microphallus pygmaeus,,129,1,Acarina (mites & ticks) ,,
129,2,Catatropis johnstoni,,129,2,Himasthla B,,129,1,Snowy Egret,,,,,,129,2,Philophthalmus,,129,2,Microphallus pirum,,130,1,Hesionidae ,,
130,2,Cloacitrema michiganiensis,,130,2,Hysterolecitha trilocalis,,130,1,Snowy Plover,,,,,,130,2,Curtuteria 1,,130,2,Maritrema oocysta,,131,1,Phytoplankton ,,
131,2,Euhaplorchis californiensis,,131,2,Renicola sp.,,131,1,Sora,,,,,,131,2,Acanthoparyphium,,131,2,Maritrema subdolum,,132,1,brown algae  ,,
132,2,fat cyathocotylid,,132,2,mc aorta,,132,1,Tricolored Heron,,,,,,132,2,Gymnophallus,,132,2,Cercaria #15,,133,1,Enteropmorpha ,,
133,2,Galactosomum humbargari,,133,2,mc unk acteo,,133,1,Western Grebe,,,,,,133,2,Opecoelid,,133,2,Levinseniella brachysoma,,134,1,POM ,,
134,2,hemiurid,,134,2,Mesostephanus appendiculatus,,134,1,Western Gull,,,,,,134,2,Ascarophis,,134,2,Himasthla elongata,,,,,,
135,2,Himasthla rhigedana,,135,2,Parorchis acanthus,,135,1,Western Sandpiper,,,,,,135,2,Acuariidae,,135,2,Himasthla continua,,,,,,
136,2,Himasthla B,,136,2,Parvatrema sp.,,136,1,Whimbrel,,,,,,136,2,Profilicollis anta,,136,2,Himasthla interrupta,,,,,,
137,2,Hysterolecitha trilocalis,,137,2,Phocitremoides ovale,,137,1,Willet,,,,,,137,2,Profilicollis novae,,137,2,Cryptocotyle concavum ,,,,,,
