"","Carpinteria.interaction.type","Carpinteria.con.taxonomy","Carpinteria.con.taxonomy.level","Carpinteria.con.common","Carpinteria.con.lifestage","Carpinteria.res.taxonomy","Carpinteria.res.taxonomy.level","Carpinteria.res.common","Carpinteria.res.lifestage","Carpinteria.con_taxon_id","Carpinteria.res_taxon_id"
"52","predacious","Ardea herodius","species","Great Blue Heron","adults","Clevelandia ios","species","Arrow Goby","adults",13,33
"53","predacious","Phalacrocorax penicillatus","species","Double-crested Cormorant","adults","Clevelandia ios","species","Arrow Goby","adults",73,33
"54","predacious","Calidris minutilla","species","Least Sandpiper","adults","Polydora nuchalis","species","Polydora nuchalis","adults",22,95
"55","predacious","Catoptrophorus semipalmatus","species","Willet","adults","Ephydra","genus","Ephydra","larvae",26,45
"56","predacious","Actitis macularia","species","Spotted Sandpiper","adults","Acteocina inculta","species","Acteocina inculta","adults",4,4
"57","predacious","Calidris minutilla","species","Least Sandpiper","adults","Traskorchestia traskiana","species","Salt Marsh Hopper","adults",22,113
"58","predacious","Gillichthys mirabilis","species","Long-jawed Mudsucker","adults","Traskorchestia traskiana","species","Salt Marsh Hopper","adults",41,113
"59","predacious","Gillichthys mirabilis","species","Long-jawed Mudsucker","adults","Trichocorixia sp.","genus","Salt Marsh Water Boatman","adults",41,114
"60","predacious","Polydora nuchalis","species","Polydora nuchalis","adults","Mesostephanus appendiculatus","species","Mesostephanus appendiculatus","cercaria",80,73
"61","predacious","Polydora nuchalis","species","Polydora nuchalis","adults","Stictodora hancocki","species","Stictodora hancocki","cercaria",80,109
"62","predacious","Procyon locator","species","Raccoon","adults","Hemigrapsus oregonensis","species","Green Shore Crab","adults",82,53
"63","predacious","Ardea herodius","species","Great Blue Heron","adults","Fundulus parvipinnis","species","California Killifish","adults",13,49
"64","predacious","Phalacrocorax penicillatus","species","Double-crested Cormorant","adults","Fundulus parvipinnis","species","California Killifish","adults",73,49
"65","predacious","Pachygrapsus crassipes","species","Striped Shore Crab","adults","Carinoma mutabilis","species","Carinoma mutabilis","adults",68,25
"66","predacious","Triakis semifasciata","species","Leopard Shark","adults","Clevelandia ios","species","Arrow Goby","adults",96,33
"67","predacious","Aechmophorus occidentalis","species","Western Grebe","adults","Clevelandia ios","species","Arrow Goby","adults",5,33
"68","predacious","Calidris mauri","species","Western Sandpiper","adults","Acteocina inculta","species","Acteocina inculta","adults",21,4
"69","predacious","Procyon locator","species","Raccoon","adults","Uca crenulata","species","Fiddler Crab","adults",82,117
"70","predacious","Mergus serrator","species","Red-breasted Merganser","adults","Clevelandia ios","species","Arrow Goby","adults",60,33
"71","predacious","Pachygrapsus crassipes","species","Striped Shore Crab","adults","Capitella capitata","species","Capitella capitata","adults",68,23
"72","predacious","Triakis semifasciata","species","Leopard Shark","adults","Fundulus parvipinnis","species","California Killifish","adults",96,49
"73","predacious","Aechmophorus occidentalis","species","Western Grebe","adults","Fundulus parvipinnis","species","California Killifish","adults",5,49
"74","predacious","Egretta alba","species","Great Egret","adults","Clevelandia ios","species","Arrow Goby","adults",35,33
"75","predacious","Nycticorax nycticorax","species","Black-crowned Night Heron","adults","Clevelandia ios","species","Arrow Goby","adults",65,33
"76","predacious","Pachygrapsus crassipes","species","Striped Shore Crab","adults","Polydora nuchalis","species","Polydora nuchalis","adults",68,95
"77","predacious","Polydora nuchalis","species","Polydora nuchalis","adults","Renicola buchanani","species","Renicola buchanani","cercaria",80,102
"78","predacious","Limnodromus scilopaceus","species","Long-billed Dowitcher","adults","Ephydra","genus","Ephydra","larvae",54,45
"79","predacious","Procyon locator","species","Raccoon","adults","Atherinops affinis","species","Topsmelt","adults",82,16
"80","predacious","Numenius americanus","species","Long-billed Curlew","adults","Clevelandia ios","species","Arrow Goby","adults",62,33
"81","predacious","Numenius americanus","species","Long-billed Curlew","adults","Cryptomya californica","species","California Softshell Clam","adults",62,37
"82","predacious","Mergus serrator","species","Red-breasted Merganser","adults","Fundulus parvipinnis","species","California Killifish","adults",60,49
"83","predacious","Sterna caspia","species","Caspian Tern","adults","Clevelandia ios","species","Arrow Goby","adults",91,33
"84","predacious","Numenius phaeopus","species","Whimbrel","adults","Melampus olivaceus","species","Salt Marsh Snail","adults",63,70
"85","predacious","Limosa fedoa","species","Marbled Godwit","adults","Melampus olivaceus","species","Salt Marsh Snail","adults",55,70
"86","predacious","Egretta alba","species","Great Egret","adults","Fundulus parvipinnis","species","California Killifish","adults",35,49
"87","predacious","Nycticorax nycticorax","species","Black-crowned Night Heron","adults","Fundulus parvipinnis","species","California Killifish","adults",65,49
"88","predacious","Larus californicus","species","California Gull","adults","Fundulus parvipinnis","species","California Killifish","adults",49,49
"89","predacious","Urolophus halleri","species","Haller's Round Ray","adults","Clevelandia ios","species","Arrow Goby","adults",100,33
"90","predacious","Sterna caspia","species","Caspian Tern","adults","Fundulus parvipinnis","species","California Killifish","adults",91,49
"91","predacious","Podilymbus podiceps","species","Pied-billed Grebe","adults","Clevelandia ios","species","Arrow Goby","adults",78,33
"92","predacious","Polydora nuchalis","species","Polydora nuchalis","adults","Catatropis johnstoni","species","Catatropis johnstoni","cercaria",80,26
"93","predacious","Pachygrapsus crassipes","species","Striped Shore Crab","adults","Acteocina inculta","species","Acteocina inculta","adults",68,4
"94","predacious","Triakis semifasciata","species","Leopard Shark","adults","Hemigrapsus oregonensis","species","Green Shore Crab","adults",96,53
"95","predacious","Egretta thula","species","Snowy Egret","adults","Clevelandia ios","species","Arrow Goby","adults",37,33
"96","predacious","Limosa fedoa","species","Marbled Godwit","adults","Clevelandia ios","species","Arrow Goby","adults",55,33
"97","predacious","Egretta caerulea","species","Little Blue Heron","adults","Clevelandia ios","species","Arrow Goby","adults",36,33
"98","predacious","Ardea herodius","species","Great Blue Heron","adults","Atherinops affinis","species","Topsmelt","adults",13,16
"99","predacious","Recurvirostra americana","species","American Avocet","adults","Clevelandia ios","species","Arrow Goby","adults",85,33
"100","predacious","Phalacrocorax penicillatus","species","Double-crested Cormorant","adults","Atherinops affinis","species","Topsmelt","adults",73,16
"101","predacious","Podilymbus podiceps","species","Pied-billed Grebe","adults","Fundulus parvipinnis","species","California Killifish","adults",78,49
"102","predacious","Melanitta perspicillata","species","Surf Scoter","adults","Hemigrapsus oregonensis","species","Green Shore Crab","adults",59,53
"103","predacious","Catoptrophorus semipalmatus","species","Willet","adults","Clevelandia ios","species","Arrow Goby","adults",26,33
"104","predacious","Melanitta perspicillata","species","Surf Scoter","adults","Cerithidea californica","species","California Horn Snail","adults",59,29
"105","predacious","Catoptrophorus semipalmatus","species","Willet","adults","Cryptomya californica","species","California Softshell Clam","adults",26,37
"106","predacious","Nycticorax nycticorax","species","Black-crowned Night Heron","adults","Hemigrapsus oregonensis","species","Green Shore Crab","adults",65,53
"107","predacious","Egretta thula","species","Snowy Egret","adults","Fundulus parvipinnis","species","California Killifish","adults",37,49
"108","predacious","Procyon locator","species","Raccoon","adults","Pachygrapsus crassipes","species","Striped Shore Crab","adults",82,83
"109","predacious","Butorides virescens","species","Green Heron","adults","Clevelandia ios","species","Arrow Goby","adults",19,33
"110","predacious","Triakis semifasciata","species","Leopard Shark","adults","Uca crenulata","species","Fiddler Crab","adults",96,117
"111","predacious","Egretta caerulea","species","Little Blue Heron","adults","Fundulus parvipinnis","species","California Killifish","adults",36,49
"112","predacious","Pluvialis squatarola","species","Black-bellied Plover","adults","Clevelandia ios","species","Arrow Goby","adults",77,33
"113","predacious","Ardea herodius","species","Great Blue Heron","adults","Cymatogaster aggregata","species","Shiner Surfperch","adults",13,40
"114","predacious","Numenius americanus","species","Long-billed Curlew","adults","Hemigrapsus oregonensis","species","Green Shore Crab","adults",62,53
"115","predacious","Pluvialis squatarola","species","Black-bellied Plover","adults","Cryptomya californica","species","California Softshell Clam","adults",77,37
"116","predacious","Larus californicus","species","California Gull","adults","Hemigrapsus oregonensis","species","Green Shore Crab","adults",49,53
"117","predacious","Phalacrocorax penicillatus","species","Double-crested Cormorant","adults","Cymatogaster aggregata","species","Shiner Surfperch","adults",73,40
"118","predacious","Hemigrapsus oregonensis","species","Green Shore Crab","adults","Carinoma mutabilis","species","Carinoma mutabilis","adults",44,25
"119","predacious","Recurvirostra americana","species","American Avocet","adults","Fundulus parvipinnis","species","California Killifish","adults",85,49
"120","predacious","Melanitta perspicillata","species","Surf Scoter","adults","Uca crenulata","species","Fiddler Crab","adults",59,117
"121","predacious","Triakis semifasciata","species","Leopard Shark","adults","Atherinops affinis","species","Topsmelt","adults",96,16
"122","predacious","Aechmophorus occidentalis","species","Western Grebe","adults","Atherinops affinis","species","Topsmelt","adults",5,16
"123","predacious","Limnodromus scilopaceus","species","Long-billed Dowitcher","adults","Melampus olivaceus","species","Salt Marsh Snail","adults",54,70
"124","predacious","Tringa melanoleuca","species","Greater Yellowlegs","adults","Clevelandia ios","species","Arrow Goby","adults",98,33
"125","predacious","Butorides virescens","species","Green Heron","adults","Fundulus parvipinnis","species","California Killifish","adults",19,49
"126","predacious","Nycticorax nycticorax","species","Black-crowned Night Heron","adults","Uca crenulata","species","Fiddler Crab","adults",65,117
"127","predacious","Calidris minutilla","species","Least Sandpiper","adults","Ephydra","genus","Ephydra","larvae",22,45
"128","predacious","Larus delawarensis","species","Ring-billed Gull","adults","Hemigrapsus oregonensis","species","Green Shore Crab","adults",51,53
"129","predacious","Gillichthys mirabilis","species","Long-jawed Mudsucker","adults","Ephydra","genus","Ephydra","larvae",41,45
"130","predacious","Larus canus","species","Mew Gull","adults","Hemigrapsus oregonensis","species","Green Shore Crab","adults",50,53
"131","predacious","Numenius americanus","species","Long-billed Curlew","adults","Uca crenulata","species","Fiddler Crab","adults",62,117
"132","predacious","Hemigrapsus oregonensis","species","Green Shore Crab","adults","Capitella capitata","species","Capitella capitata","adults",44,23
"133","predacious","Mergus serrator","species","Red-breasted Merganser","adults","Atherinops affinis","species","Topsmelt","adults",60,16
"134","predacious","Urolophus halleri","species","Haller's Round Ray","adults","Hemigrapsus oregonensis","species","Green Shore Crab","adults",100,53
"135","predacious","Hemigrapsus oregonensis","species","Green Shore Crab","adults","Polydora nuchalis","species","Polydora nuchalis","adults",44,95
"136","predacious","Triakis semifasciata","species","Leopard Shark","adults","Cymatogaster aggregata","species","Shiner Surfperch","adults",96,40
"137","predacious","Aechmophorus occidentalis","species","Western Grebe","adults","Cymatogaster aggregata","species","Shiner Surfperch","adults",5,40
"138","predacious","Podilymbus podiceps","species","Pied-billed Grebe","adults","Hemigrapsus oregonensis","species","Green Shore Crab","adults",78,53
"139","predacious","Numenius phaeopus","species","Whimbrel","adults","Hemigrapsus oregonensis","species","Green Shore Crab","adults",63,53
"140","predacious","Bucephala albeola","species","Bufflehead","adults","Hemigrapsus oregonensis","species","Green Shore Crab","adults",18,53
"141","predacious","Corvus brachyrhynchos","species","American Crow","adults","Hemigrapsus oregonensis","species","Green Shore Crab","adults",32,53
"142","predacious","Egretta alba","species","Great Egret","adults","Atherinops affinis","species","Topsmelt","adults",35,16
"143","predacious","Nycticorax nycticorax","species","Black-crowned Night Heron","adults","Atherinops affinis","species","Topsmelt","adults",65,16
"144","predacious","Bucephala albeola","species","Bufflehead","adults","Cerithidea californica","species","California Horn Snail","adults",18,29
"145","predacious","Egretta thula","species","Snowy Egret","adults","Hemigrapsus oregonensis","species","Green Shore Crab","adults",37,53
"146","predacious","Limosa fedoa","species","Marbled Godwit","adults","Hemigrapsus oregonensis","species","Green Shore Crab","adults",55,53
"147","predacious","Limnodromus scilopaceus","species","Long-billed Dowitcher","adults","Clevelandia ios","species","Arrow Goby","adults",54,33
"148","predacious","Ceryle alcyon","species","Belted Kingfisher","adults","Fundulus parvipinnis","species","California Killifish","adults",27,49
"149","predacious","Egretta caerulea","species","Little Blue Heron","adults","Hemigrapsus oregonensis","species","Green Shore Crab","adults",36,53
"150","predacious","Larus californicus","species","California Gull","adults","Atherinops affinis","species","Topsmelt","adults",49,16
"151","predacious","Mergus serrator","species","Red-breasted Merganser","adults","Cymatogaster aggregata","species","Shiner Surfperch","adults",60,40
"152","predacious","Triakis semifasciata","species","Leopard Shark","adults","Neotrypaea californiensis","species","Calfornia Ghost Shrimp","adults",96,76
"153","predacious","Fundulus parvipinnis","species","California Killifish","adults","Carinoma mutabilis","species","Carinoma mutabilis","adults",40,25
"154","predacious","Sterna caspia","species","Caspian Tern","adults","Atherinops affinis","species","Topsmelt","adults",91,16
"155","predacious","Urolophus halleri","species","Haller's Round Ray","adults","Uca crenulata","species","Fiddler Crab","adults",100,117
"156","predacious","Recurvirostra americana","species","American Avocet","adults","Cerithidea californica","species","California Horn Snail","adults",85,29
"157","predacious","Fundulus parvipinnis","species","California Killifish","adults","Assiminea californica","species","California Assiminea","adults",40,15
"158","predacious","Egretta alba","species","Great Egret","adults","Cymatogaster aggregata","species","Shiner Surfperch","adults",35,40
"159","predacious","Nycticorax nycticorax","species","Black-crowned Night Heron","adults","Cymatogaster aggregata","species","Shiner Surfperch","adults",65,40
"160","predacious","Fundulus parvipinnis","species","California Killifish","adults","Culex tarsalis","species","Western Encephalitis Mosquito","larvae",40,38
"161","predacious","Catoptrophorus semipalmatus","species","Willet","adults","Hemigrapsus oregonensis","species","Green Shore Crab","adults",26,53
"162","predacious","Podilymbus podiceps","species","Pied-billed Grebe","adults","Uca crenulata","species","Fiddler Crab","adults",78,117
"163","predacious","Catoptrophorus semipalmatus","species","Willet","adults","Cerithidea californica","species","California Horn Snail","adults",26,29
"164","predacious","Numenius phaeopus","species","Whimbrel","adults","Uca crenulata","species","Fiddler Crab","adults",63,117
"165","predacious","Bucephala albeola","species","Bufflehead","adults","Uca crenulata","species","Fiddler Crab","adults",18,117
"166","predacious","Limnodromus scilopaceus","species","Long-billed Dowitcher","adults","Fundulus parvipinnis","species","California Killifish","adults",54,49
"167","predacious","Fundulus parvipinnis","species","California Killifish","adults","Aedes taeniorhynchus","species","Black Salt Marsh Mosquito","larvae",40,7
"168","predacious","Triakis semifasciata","species","Leopard Shark","adults","Tagelus affinis","species","Fat Jackknife Clam","adults",96,110
"169","predacious","Melanitta perspicillata","species","Surf Scoter","adults","Neotrypaea californiensis","species","Calfornia Ghost Shrimp","adults",59,76
"170","predacious","Larus delawarensis","species","Ring-billed Gull","adults","Atherinops affinis","species","Topsmelt","adults",51,16
"171","predacious","Triakis semifasciata","species","Leopard Shark","adults","Macoma nasuta","species","Bent-nosed Clam","adults",96,67
"172","predacious","Egretta thula","species","Snowy Egret","adults","Uca crenulata","species","Fiddler Crab","adults",37,117
"173","predacious","Limosa fedoa","species","Marbled Godwit","adults","Uca crenulata","species","Fiddler Crab","adults",55,117
"174","predacious","Pluvialis squatarola","species","Black-bellied Plover","adults","Hemigrapsus oregonensis","species","Green Shore Crab","adults",77,53
"175","predacious","Pluvialis squatarola","species","Black-bellied Plover","adults","Cerithidea californica","species","California Horn Snail","adults",77,29
"176","predacious","Larus canus","species","Mew Gull","adults","Atherinops affinis","species","Topsmelt","adults",50,16
"177","predacious","Pachygrapsus crassipes","species","Striped Shore Crab","adults","Ephydra","genus","Ephydra","larvae",68,45
"178","predacious","Egretta caerulea","species","Little Blue Heron","adults","Uca crenulata","species","Fiddler Crab","adults",36,117
"179","predacious","Larus philadelphia","species","Bonaparte's Gull","adults","Hemigrapsus oregonensis","species","Green Shore Crab","adults",52,53
"180","predacious","Sterna caspia","species","Caspian Tern","adults","Cymatogaster aggregata","species","Shiner Surfperch","adults",91,40
"181","predacious","Fundulus parvipinnis","species","California Killifish","adults","Capitella capitata","species","Capitella capitata","adults",40,23
"182","predacious","Triakis semifasciata","species","Leopard Shark","adults","Upogebia macginitieorum","species","Southern Mud Shrimp","adults",96,118
"183","predacious","Podilymbus podiceps","species","Pied-billed Grebe","adults","Atherinops affinis","species","Topsmelt","adults",78,16
"184","predacious","Numenius americanus","species","Long-billed Curlew","adults","Neotrypaea californiensis","species","Calfornia Ghost Shrimp","adults",62,76
"185","predacious","Hemigrapsus oregonensis","species","Green Shore Crab","adults","Acteocina inculta","species","Acteocina inculta","adults",44,4
"186","predacious","Triakis semifasciata","species","Leopard Shark","adults","Pachygrapsus crassipes","species","Striped Shore Crab","adults",96,83
"187","predacious","Fundulus parvipinnis","species","California Killifish","adults","Polydora nuchalis","species","Polydora nuchalis","adults",40,95
"188","predacious","Corvus brachyrhynchos","species","American Crow","adults","Atherinops affinis","species","Topsmelt","adults",32,16
"189","predacious","Catoptrophorus semipalmatus","species","Willet","adults","Uca crenulata","species","Fiddler Crab","adults",26,117
"190","predacious","Melanitta perspicillata","species","Surf Scoter","adults","Tagelus affinis","species","Fat Jackknife Clam","adults",59,110
"191","predacious","Melanitta perspicillata","species","Surf Scoter","adults","Macoma nasuta","species","Bent-nosed Clam","adults",59,67
"192","predacious","Egretta thula","species","Snowy Egret","adults","Atherinops affinis","species","Topsmelt","adults",37,16
"193","predacious","Fundulus parvipinnis","species","California Killifish","adults","Trichocorixia sp.","genus","Salt Marsh Water Boatman","adults",40,114
"194","predacious","Tringa melanoleuca","species","Greater Yellowlegs","adults","Cerithidea californica","species","California Horn Snail","adults",98,29
"195","predacious","Triakis semifasciata","species","Leopard Shark","adults","Tagelus subteres","species","Lesser Tagelus","adults",96,112
"196","predacious","Egretta caerulea","species","Little Blue Heron","adults","Atherinops affinis","species","Topsmelt","adults",36,16
"197","predacious","Actitis macularia","species","Spotted Sandpiper","adults","Cryptomya californica","species","California Softshell Clam","adults",4,37
"198","predacious","Ardea herodius","species","Great Blue Heron","adults","Gillichthys mirabilis","species","Long-jawed Mudsucker","adults",13,50
"199","predacious","Pluvialis squatarola","species","Black-bellied Plover","adults","Uca crenulata","species","Fiddler Crab","adults",77,117
"200","predacious","Phalacrocorax penicillatus","species","Double-crested Cormorant","adults","Gillichthys mirabilis","species","Long-jawed Mudsucker","adults",73,50
"201","predacious","Melanitta perspicillata","species","Surf Scoter","adults","Upogebia macginitieorum","species","Southern Mud Shrimp","adults",59,118
"202","predacious","Numenius americanus","species","Long-billed Curlew","adults","Tagelus affinis","species","Fat Jackknife Clam","adults",62,110
"203","predacious","Melanitta perspicillata","species","Surf Scoter","adults","Pachygrapsus crassipes","species","Striped Shore Crab","adults",59,83
"204","predacious","Podilymbus podiceps","species","Pied-billed Grebe","adults","Cymatogaster aggregata","species","Shiner Surfperch","adults",78,40
"205","predacious","Larus californicus","species","California Gull","adults","Tagelus affinis","species","Fat Jackknife Clam","adults",49,110
"206","predacious","Larus californicus","species","California Gull","adults","Macoma nasuta","species","Bent-nosed Clam","adults",49,67
"207","predacious","Nycticorax nycticorax","species","Black-crowned Night Heron","adults","Pachygrapsus crassipes","species","Striped Shore Crab","adults",65,83
"208","predacious","Paralichthys californicus","species","California Halibut","adults","Clevelandia ios","species","Arrow Goby","adults",69,33
"209","predacious","Calidris alpina","species","Dunlin","adults","Fundulus parvipinnis","species","California Killifish","adults",20,49
"210","predacious","Egretta thula","species","Snowy Egret","adults","Cymatogaster aggregata","species","Shiner Surfperch","adults",37,40
"211","predacious","Fulica americana","species","American Coot","adults","Macoma nasuta","species","Bent-nosed Clam","adults",39,67
"212","predacious","Urolophus halleri","species","Haller's Round Ray","adults","Neotrypaea californiensis","species","Calfornia Ghost Shrimp","adults",100,76
"213","predacious","Ardea herodius","species","Great Blue Heron","adults","Hypsopsetta guttulata","species","Diamond Turbot","adults",13,56
"214","predacious","Melanitta perspicillata","species","Surf Scoter","adults","Tagelus subteres","species","Lesser Tagelus","adults",59,112
"215","predacious","Clevelandia ios","species","Arrow Goby","adults","Trichocorixia sp.","genus","Salt Marsh Water Boatman","adults",30,114
"216","predacious","Butorides virescens","species","Green Heron","adults","Atherinops affinis","species","Topsmelt","adults",19,16
"217","predacious","Egretta caerulea","species","Little Blue Heron","adults","Cymatogaster aggregata","species","Shiner Surfperch","adults",36,40
"218","predacious","Numenius americanus","species","Long-billed Curlew","adults","Upogebia macginitieorum","species","Southern Mud Shrimp","adults",62,118
"219","predacious","Phalacrocorax penicillatus","species","Double-crested Cormorant","adults","Hypsopsetta guttulata","species","Diamond Turbot","adults",73,56
"220","predacious","Numenius americanus","species","Long-billed Curlew","adults","Pachygrapsus crassipes","species","Striped Shore Crab","adults",62,83
"221","predacious","Limnodromus scilopaceus","species","Long-billed Dowitcher","adults","Hemigrapsus oregonensis","species","Green Shore Crab","adults",54,53
"222","predacious","Ardea herodius","species","Great Blue Heron","adults","Acanthogobius flavimanus","species","Yellow-fin Goby","adults",13,1
"223","predacious","Larus californicus","species","California Gull","adults","Pachygrapsus crassipes","species","Striped Shore Crab","adults",49,83
"224","predacious","Limnodromus scilopaceus","species","Long-billed Dowitcher","adults","Cerithidea californica","species","California Horn Snail","adults",54,29
"225","predacious","Leptocottus armatus","species","Staghorn Sculpin","adults","Clevelandia ios","species","Arrow Goby","adults",53,33
"226","predacious","Ardea herodius","species","Great Blue Heron","adults","Leptocottus armatus","species","Staghorn Sculpin","adults",13,63
"227","predacious","Phalacrocorax penicillatus","species","Double-crested Cormorant","adults","Acanthogobius flavimanus","species","Yellow-fin Goby","adults",73,1
"228","predacious","Larus philadelphia","species","Bonaparte's Gull","adults","Atherinops affinis","species","Topsmelt","adults",52,16
