,ID,Type,Name,key
151,151,2,Microcotyle sp.,Platyhelminthes
152,152,2,Acanthoparyphium spinulosum,Platyhelminthes
153,153,2,microphallid-assiminea,Platyhelminthes
154,154,2,Austrobilharzia sp.,Platyhelminthes
155,155,2,Austrobilharzia sp.,Platyhelminthes
156,156,2,Catatropis johnstoni,Platyhelminthes
157,157,2,Cloacitrema michiganiensis,Platyhelminthes
158,158,2,Euhaplorchis californiensis,Platyhelminthes
159,159,2,Gynaecotyla sp.,Platyhelminthes
160,160,2,Gynaecotyla sp.,Platyhelminthes
161,161,2,hemiurid,Platyhelminthes
162,162,2,Himasthla rhigedana,Platyhelminthes
163,163,2,Himasthla B,Platyhelminthes
164,164,2,Hysterolecitha trilocalis,Platyhelminthes
165,165,2,Lecisthaster sp.,Platyhelminthes
166,166,2,lepocreadid,Platyhelminthes
167,167,2,Renicola sp.,Platyhelminthes
168,168,2,mc oval (u+i),Platyhelminthes
169,169,2,mc oval jelly,Platyhelminthes
170,170,2,mc unk neo,Platyhelminthes
171,171,2,mc unk pericaridean,Platyhelminthes
172,172,2,mc unk poly,Platyhelminthes
173,173,2,mc unk-tagelus epb,Platyhelminthes
174,174,2,Acanthoparyphium,Platyhelminthes
175,175,2,Mesostephanus appendiculatus,Platyhelminthes
176,176,2,Parorchis acanthus,Platyhelminthes
177,177,2,Parvatrema sp.,Platyhelminthes
178,178,2,Phocitremoides ovale,Platyhelminthes
179,179,2,Probolocoryphe species A,Platyhelminthes
180,180,2,Probolocoryphe species B,Platyhelminthes
181,181,2,Pygidiopsoides spindalis,Platyhelminthes
182,182,2,Renicola buchanani,Platyhelminthes
183,183,2,Renicola cerithidicola,Platyhelminthes
184,184,2,renic,Platyhelminthes
185,185,2,small cyathocotylid,Platyhelminthes
186,186,2,Maritrema sp.,Platyhelminthes
187,187,2,Stictodora hancocki,Platyhelminthes
188,188,2,Tubulovesicula,Platyhelminthes
189,189,2,fellodistomid,Platyhelminthes
190,190,2,Lepocreadium,Platyhelminthes
191,191,2,Glossocercus sp.,Platyhelminthes
192,192,2,plerocercoid,Platyhelminthes
193,193,2,tetraphyllidean,Platyhelminthes
194,194,2,tetraphyllidean larva,Platyhelminthes
195,195,2,tetraphyllidean-fish,Platyhelminthes
196,196,2,trypanorhynch-fish,Platyhelminthes
197,197,2,trypanorhynch-grapsid,Platyhelminthes
198,198,2,trypanorhynch-thalassinidean,Platyhelminthes
199,199,2,Spirocamallanus pereirae,Nematoda
200,200,2,Ascarophis? (Neotrypaea),Nematoda
201,201,2,Ascarophis-like Pachy,Nematoda
202,202,2,Ascarophis-like Uca,Nematoda
203,203,2,nematode,Nematoda
204,204,2,nematode (gnathosome?),Nematoda
205,205,2,neme-long,Nematoda
206,206,2,acanth,Acanthocephala
207,207,2,cystacanth-pachygrapsus,Acanthocephala
208,208,2,cystacanth-uca,Acanthocephala
209,209,2,cystacanth-fish b.cav,Acanthocephala
210,210,2,copepod-Pseudomyicola?,Crustacea
211,211,2,Leidya sp.,Isopoda
212,212,2,Phyllobduris abdominalis,Isopoda
213,213,2,Portunion conformis,Isopoda
214,214,2,Carcinonemertes sp.,Nermertea
